CustomerID,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFM_Score,RFM_Segment
12494,10,13,1139.3500000000001,4,4,3,443,Champions
12497,82,1,1043.1,2,1,3,213,Unknown
12498,21,3,403.70000000000005,3,2,2,322,Promising
12500,23,13,4206.2699999999995,3,4,4,344,Loyal
12501,315,2,2089.68,1,2,4,124,Unknown
12502,96,5,3723.87,2,3,4,234,About to Sleep
12504,18,4,114.0,3,3,1,331,Lost
12506,233,1,73.5,1,1,1,111,Can't Lose
12507,134,4,1258.06,2,3,3,233,About to Sleep
12508,26,2,398.27,3,2,2,322,Promising
12509,284,1,176.5,1,1,1,111,Can't Lose
12510,143,2,982.5699999999999,1,2,3,123,Can't Lose
12512,66,2,138.03,2,2,1,221,At Risk
12513,85,2,586.79,2,2,2,222,At Risk
12514,267,1,1017.6800000000001,1,1,3,113,Unknown
12515,353,1,383.7,1,1,2,112,Can't Lose
12516,78,2,1312.06,2,2,3,223,About to Sleep
12517,28,6,2464.89,3,3,4,334,Loyal
12518,1,5,2056.89,4,3,4,434,Loyal
12519,64,1,340.84000000000003,2,1,2,212,At Risk
12520,79,6,2582.51,2,3,4,234,About to Sleep
12521,143,1,599.68,1,1,2,112,Can't Lose
12522,39,2,192.72,3,2,1,321,Promising
12523,2,13,1745.57,4,4,4,444,Champions
12524,9,8,4485.72,4,4,4,444,Champions
12526,1,3,1316.66,4,2,3,423,Potential Loyalists
12527,82,3,348.71000000000004,2,2,2,222,At Risk
12528,9,8,1922.28,4,4,4,444,Champions
12530,60,5,1623.63,2,3,3,233,About to Sleep
12531,15,1,125.22,4,1,1,411,Lost
12532,30,1,349.83000000000004,3,1,2,312,Promising
12534,131,1,1089.18,2,1,3,213,Unknown
12535,92,2,716.35,2,2,3,223,About to Sleep
12536,8,5,4106.82,4,3,4,434,Loyal
12538,29,1,363.95,3,1,2,312,Promising
12539,22,5,3852.5,3,3,4,334,Loyal
12540,20,19,13309.04,3,4,4,344,Loyal
12541,30,3,981.18,3,2,3,323,Potential Loyalists
12544,30,2,355.7,3,2,2,322,Promising
12545,75,2,1000.39,2,2,3,223,About to Sleep
12546,47,3,1141.5,3,2,3,323,Potential Loyalists
12547,198,2,207.8,1,2,1,121,Can't Lose
12548,166,1,95.19999999999999,1,1,1,111,Can't Lose
12550,79,1,964.83,2,1,3,213,Unknown
12551,358,1,168.0,1,1,1,111,Can't Lose
12552,39,2,437.82,3,2,2,322,Promising
12553,8,14,3652.25,4,4,4,444,Champions
12556,50,2,603.71,3,2,2,322,Promising
12557,16,5,11990.960000000001,4,3,4,434,Loyal
12558,2,2,1.0658141036401503e-14,4,2,1,421,New Customers
12559,311,3,536.21,1,2,2,122,Can't Lose
12560,5,4,2101.39,4,3,4,434,Loyal
12561,303,1,238.85,1,1,1,111,Can't Lose
12562,8,7,3781.7400000000002,4,4,4,444,Champions
12564,261,1,456.90000000000003,1,1,2,112,Can't Lose
12565,282,2,131.17000000000002,1,2,1,121,Can't Lose
12566,73,2,346.7,2,2,2,222,At Risk
12567,23,11,9114.94,3,4,4,344,Loyal
12569,2,35,4064.9900000000002,4,4,4,444,Champions
12571,40,2,519.61,3,2,2,322,Promising
12572,9,3,1004.72,4,2,3,423,Potential Loyalists
12573,227,1,160.54000000000002,1,1,1,111,Can't Lose
12574,316,1,218.45000000000002,1,1,1,111,Can't Lose
12576,36,6,1306.98,3,3,3,333,Potential Loyalists
12577,35,4,595.4,3,3,2,332,Potential Loyalists
12578,21,4,2753.36,3,3,4,334,Loyal
12579,73,3,410.72,2,2,2,222,At Risk
12580,247,1,415.7,1,1,2,112,Can't Lose
12581,40,1,197.71,3,1,1,311,Lost
12582,239,2,511.36,1,2,2,122,Can't Lose
12583,3,18,7187.34,4,4,4,444,Champions
12584,4,18,1893.95,4,4,4,444,Champions
12585,234,4,1982.81,1,3,4,134,Hibernating
12586,17,2,179.94000000000003,4,2,1,421,New Customers
12587,8,1,144.0,4,1,1,411,Lost
12588,39,1,214.89999999999998,3,1,1,311,Lost
12589,29,2,646.68,3,2,2,322,Promising
12590,190,3,9861.38,1,2,4,124,Unknown
12591,317,1,452.84999999999997,1,1,2,112,Can't Lose
12592,92,2,437.6,2,2,2,222,At Risk
12593,109,3,418.1,2,2,2,222,At Risk
12594,38,11,3320.2200000000003,3,4,4,344,Loyal
12596,51,2,618.27,2,2,2,222,At Risk
12597,19,5,3683.13,3,3,4,334,Loyal
12598,10,9,3002.68,4,4,4,444,Champions
12599,29,7,1032.58,3,4,3,343,Loyal
12600,29,11,2581.04,3,4,4,344,Loyal
12601,190,6,569.5600000000001,1,3,2,132,Can't Lose
12602,59,1,153.12,2,1,1,211,Can't Lose
12603,22,1,739.1999999999999,3,1,3,313,Unknown
12604,79,2,254.18,2,2,1,221,At Risk
12607,58,2,7.105427357601002e-15,2,2,1,221,At Risk
12609,78,3,1126.85,2,2,3,223,About to Sleep
12610,23,7,2057.99,3,4,4,344,Loyal
12611,52,1,1193.32,2,1,3,213,Unknown
12612,58,2,643.59,2,2,2,222,At Risk
12613,31,6,3218.98,3,3,4,334,Loyal
12614,278,1,315.6,1,1,2,112,Can't Lose
12615,2,4,2291.19,4,3,4,434,Loyal
12616,85,5,657.25,2,3,3,233,About to Sleep
12617,29,1,355.53000000000003,3,1,2,312,Promising
12618,22,1,177.31,3,1,1,311,Lost
12619,16,13,3214.81,4,4,4,444,Champions
12620,15,3,1339.41,4,2,3,423,Potential Loyalists
12621,2,23,13612.07,4,4,4,444,Champions
12622,232,1,180.1,1,1,1,111,Can't Lose
12623,276,1,305.1,1,1,2,112,Can't Lose
12624,106,2,641.13,2,2,2,222,At Risk
12625,212,3,2614.32,1,2,4,124,Unknown
12626,23,13,6388.35,3,4,4,344,Loyal
12627,11,7,4478.53,4,4,4,444,Champions
12628,4,4,769.61,4,3,3,433,Loyal
12630,10,2,1270.88,4,2,3,423,Potential Loyalists
12631,57,1,640.5,2,1,2,212,At Risk
12633,59,5,2140.63,2,3,4,234,About to Sleep
12635,90,2,1689.18,2,2,4,224,About to Sleep
12637,67,10,5953.25,2,4,4,244,Hibernating
12638,33,1,671.69,3,1,3,313,Unknown
12639,239,1,486.1,1,1,2,112,Can't Lose
12640,24,3,1174.58,3,2,3,323,Potential Loyalists
12641,115,1,185.9,2,1,1,211,Can't Lose
12642,25,3,1013.26,3,2,3,323,Potential Loyalists
12643,128,6,3344.64,2,3,4,234,About to Sleep
12644,130,1,477.90999999999997,2,1,2,212,At Risk
12645,34,5,1755.38,3,3,4,334,Loyal
12646,5,2,1346.97,4,2,3,423,Potential Loyalists
12647,22,13,3669.92,3,4,4,344,Loyal
12648,155,1,318.05,1,1,2,112,Can't Lose
12649,107,4,603.71,2,3,2,232,About to Sleep
12650,3,1,314.44,4,1,2,412,New Customers
12651,335,1,114.0,1,1,1,111,Can't Lose
12652,322,2,914.5300000000001,1,2,3,123,Can't Lose
12653,149,2,2209.85,1,2,4,124,Unknown
12654,11,5,601.98,4,3,2,432,Unknown
12656,17,8,3982.72,4,4,4,444,Champions
12657,11,5,1152.06,4,3,3,433,Loyal
12658,19,1,686.05,3,1,3,313,Unknown
12659,30,1,91.68,3,1,1,311,Lost
12660,11,1,245.10000000000002,4,1,1,411,Lost
12662,1,12,3817.08,4,4,4,444,Champions
12664,8,10,4863.88,4,4,4,444,Champions
12665,325,2,61.75,1,2,1,121,Can't Lose
12667,58,1,620.13,2,1,2,212,At Risk
12668,7,6,3743.1800000000003,4,3,4,434,Loyal
12669,151,4,1607.73,1,3,3,133,Hibernating
12670,10,6,2986.15,4,3,4,434,Loyal
12672,330,1,225.9,1,1,1,111,Can't Lose
12673,5,2,610.52,4,2,2,422,New Customers
12674,12,7,1919.31,4,4,4,444,Champions
12676,25,6,1331.39,3,3,3,333,Potential Loyalists
12678,42,13,17588.26,3,4,4,344,Loyal
12679,52,9,1058.67,2,4,3,243,Hibernating
12680,1,4,862.81,4,3,3,433,Loyal
12681,15,27,13677.59,4,4,4,444,Champions
12682,4,31,12288.22,4,4,4,444,Champions
12683,4,20,8221.09,4,4,4,444,Champions
12684,8,7,2283.63,4,4,4,444,Champions
12685,28,6,2863.08,3,3,4,334,Loyal
12686,372,1,89.14,1,1,1,111,Can't Lose
12688,114,1,4873.81,2,1,4,214,Unknown
12689,26,2,1247.6100000000001,3,2,3,323,Potential Loyalists
12690,206,1,389.01,1,1,2,112,Can't Lose
12691,28,6,1035.8,3,3,3,333,Potential Loyalists
12693,121,6,830.96,2,3,3,233,About to Sleep
12694,70,2,869.67,2,2,3,223,About to Sleep
12695,7,4,582.1,4,3,2,432,Unknown
12697,21,5,939.02,3,3,3,333,Potential Loyalists
12700,8,6,4867.99,4,3,4,434,Loyal
12701,80,2,797.71,2,2,3,223,About to Sleep
12702,20,1,219.0,3,1,1,311,Lost
12703,64,2,274.7,2,2,1,221,At Risk
12704,7,10,2220.84,4,4,4,444,Champions
12705,15,14,6814.24,4,4,4,444,Champions
12707,292,1,603.42,1,1,2,112,Can't Lose
12708,30,16,2616.32,3,4,4,344,Loyal
12709,3,26,9294.1,4,4,4,444,Champions
12710,97,4,1130.57,2,3,3,233,About to Sleep
12712,23,17,4241.63,3,4,4,344,Loyal
12713,1,1,848.55,4,1,3,413,Unknown
12714,9,5,4708.86,4,3,4,434,Loyal
12715,106,1,353.86,2,1,2,212,At Risk
12716,4,2,1053.49,4,2,3,423,Potential Loyalists
12717,151,3,980.98,1,2,3,123,Can't Lose
12718,71,1,238.25,2,1,1,211,Can't Lose
12719,5,3,608.1,4,2,2,422,New Customers
12720,3,29,5713.28,4,4,4,444,Champions
12721,32,7,2628.98,3,4,4,344,Loyal
12722,85,6,904.33,2,3,3,233,About to Sleep
12723,4,5,725.07,4,3,3,433,Loyal
12724,5,4,1031.41,4,3,3,433,Loyal
12725,371,1,427.8,1,1,2,112,Can't Lose
12726,28,7,2609.1,3,4,4,344,Loyal
12727,11,9,3947.7000000000003,4,4,4,444,Champions
12728,71,4,836.33,2,3,3,233,About to Sleep
12729,114,1,453.01,2,1,2,212,At Risk
12731,24,14,18793.41,3,4,4,344,Loyal
12732,180,1,236.26000000000002,1,1,1,111,Can't Lose
12733,234,1,383.95,1,1,2,112,Can't Lose
12734,353,1,110.39999999999999,1,1,1,111,Can't Lose
12735,315,2,779.5699999999999,1,2,3,123,Can't Lose
12736,333,1,234.0,1,1,1,111,Can't Lose
12738,372,1,155.35,1,1,1,111,Can't Lose
12739,78,2,1013.04,2,2,3,223,About to Sleep
12740,64,1,427.6,2,1,2,212,At Risk
12743,134,2,546.43,2,2,2,222,At Risk
12744,52,10,9120.39,2,4,4,244,Hibernating
12747,2,11,4196.01,4,4,4,444,Champions
12748,1,224,29072.1,4,4,4,444,Champions
12749,4,8,3868.2,4,4,4,444,Champions
12750,129,1,275.88,2,1,1,211,Can't Lose
12752,81,1,4366.78,2,1,4,214,Unknown
12753,4,11,21024.01,4,4,4,444,Champions
12754,236,5,2949.12,1,3,4,134,Hibernating
12755,250,4,2203.2000000000003,1,3,4,134,Hibernating
12756,87,1,112.08,2,1,1,211,Can't Lose
12757,16,19,4227.7,4,4,4,444,Champions
12758,117,2,2791.59,2,2,4,224,About to Sleep
12759,52,3,1531.44,2,2,3,223,About to Sleep
12762,8,2,1898.52,4,2,4,424,Unknown
12763,138,2,494.08,2,2,2,222,At Risk
12764,317,1,1693.88,1,1,4,114,Unknown
12766,4,7,6989.63,4,4,4,444,Champions
12769,239,1,1143.6,1,1,3,113,Unknown
12770,211,1,1351.45,1,1,3,113,Unknown
12772,60,1,892.47,2,1,3,213,Unknown
12775,17,6,1351.24,4,3,3,433,Loyal
12778,20,7,804.23,3,4,3,343,Loyal
12779,21,12,3868.7,3,4,4,344,Loyal
12781,21,5,707.72,3,3,3,333,Potential Loyalists
12782,5,6,2273.32,4,3,4,434,Loyal
12783,2,8,1603.87,4,4,3,443,Champions
12784,9,2,574.42,4,2,2,422,New Customers
12785,3,2,305.71,4,2,2,422,New Customers
12787,10,3,463.66,4,2,2,422,New Customers
12789,65,1,91.85,2,1,1,211,Can't Lose
12790,192,1,324.92,1,1,2,112,Can't Lose
12791,374,1,192.60000000000002,1,1,1,111,Can't Lose
12792,257,1,400.54,1,1,2,112,Can't Lose
12793,335,2,545.48,1,2,2,122,Can't Lose
12794,53,2,860.41,2,2,3,223,About to Sleep
12795,19,1,430.48,3,1,2,312,Promising
12797,360,3,194.18,1,2,1,121,Can't Lose
12798,10,3,6977.04,4,2,4,424,Unknown
12802,184,2,412.58,1,2,2,122,Can't Lose
12808,37,3,483.65000000000003,3,2,2,322,Promising
12809,168,2,484.36,1,2,2,122,Can't Lose
12811,261,3,514.85,1,2,2,122,Can't Lose
12812,45,1,229.64000000000001,3,1,1,311,Lost
12814,102,1,125.92,2,1,1,211,Can't Lose
12815,148,2,1063.46,1,2,3,123,Can't Lose
12816,96,2,572.2,2,2,2,222,At Risk
12817,281,1,166.04000000000002,1,1,1,111,Can't Lose
12818,178,2,1517.88,1,2,3,123,Can't Lose
12820,3,4,942.34,4,3,3,433,Loyal
12821,214,1,92.72,1,1,1,111,Can't Lose
12822,71,3,918.98,2,2,3,223,About to Sleep
12823,75,5,1759.5,2,3,4,234,About to Sleep
12824,60,1,397.12,2,1,2,212,At Risk
12826,3,8,1468.1200000000001,4,4,3,443,Champions
12827,6,3,430.15,4,2,2,422,New Customers
12828,3,6,1018.71,4,3,3,433,Loyal
12829,322,3,253.05,1,2,1,121,Can't Lose
12830,38,7,6748.4,3,4,4,344,Loyal
12831,262,1,215.05,1,1,1,111,Can't Lose
12832,32,2,383.03000000000003,3,2,2,322,Promising
12833,145,1,417.38,1,1,2,112,Can't Lose
12834,283,1,312.38,1,1,2,112,Can't Lose
12836,59,4,2612.86,2,3,4,234,About to Sleep
12837,173,1,134.1,1,1,1,111,Can't Lose
12838,34,2,683.13,3,2,3,323,Potential Loyalists
12839,3,16,5583.62,4,4,4,444,Champions
12840,144,6,2714.27,1,3,4,134,Hibernating
12841,5,26,3876.4,4,4,4,444,Champions
12842,70,2,1118.99,2,2,3,223,About to Sleep
12843,66,9,1680.76,2,4,4,244,Hibernating
12844,29,2,325.96000000000004,3,2,2,322,Promising
12845,267,4,354.09000000000003,1,3,2,132,Can't Lose
12847,22,1,871.54,3,1,3,313,Unknown
12849,31,2,1050.89,3,2,3,323,Potential Loyalists
12851,97,1,135.18,2,1,1,211,Can't Lose
12852,290,2,299.75,1,2,1,121,Can't Lose
12853,108,9,1881.7,2,4,4,244,Hibernating
12854,79,5,1289.15,2,3,3,233,About to Sleep
12855,373,1,38.1,1,1,1,111,Can't Lose
12856,8,8,2162.68,4,4,4,444,Champions
12857,211,2,1106.4,1,2,3,123,Can't Lose
12863,52,2,504.2,2,2,2,222,At Risk
12864,138,1,147.12,2,1,1,211,Can't Lose
12865,26,3,1548.07,3,2,3,323,Potential Loyalists
12866,283,1,559.12,1,1,2,112,Can't Lose
12867,26,10,3986.22,3,4,4,344,Loyal
12868,186,6,1607.0600000000002,1,3,3,133,Hibernating
12871,84,2,380.64,2,2,2,222,At Risk
12872,327,2,599.97,1,2,2,122,Can't Lose
12873,282,1,374.0,1,1,2,112,Can't Lose
12875,143,2,343.2300000000001,1,2,2,122,Can't Lose
12876,58,2,2218.02,2,2,4,224,About to Sleep
12877,4,12,1535.77,4,4,3,443,Champions
12878,18,3,841.64,3,2,3,323,Potential Loyalists
12879,45,4,552.57,3,3,2,332,Potential Loyalists
12881,276,1,298.0,1,1,1,111,Can't Lose
12882,9,2,1463.04,4,2,3,423,Potential Loyalists
12883,25,4,703.47,3,3,3,333,Potential Loyalists
12884,88,1,309.05,2,1,2,212,At Risk
12885,63,4,1158.27,2,3,3,233,About to Sleep
12886,68,3,1351.09,2,2,3,223,About to Sleep
12888,214,4,313.77,1,3,2,132,Can't Lose
12890,24,1,380.46999999999997,3,1,2,312,Promising
12891,186,3,331.0,1,2,2,122,Can't Lose
12893,31,1,188.14,3,1,1,311,Lost
12895,42,3,347.3,3,2,2,322,Promising
12897,205,2,216.5,1,2,1,121,Can't Lose
12901,9,36,16293.1,4,4,4,444,Champions
12902,265,1,138.68,1,1,1,111,Can't Lose
12904,18,2,509.58,3,2,2,322,Promising
12906,12,5,2919.81,4,3,4,434,Loyal
12908,59,4,246.0,2,3,1,231,Unknown
12909,40,8,2128.83,3,4,4,344,Loyal
12910,23,8,3075.04,3,4,4,344,Loyal
12912,3,5,1662.3,4,3,4,434,Loyal
12913,5,5,2483.63,4,3,4,434,Loyal
12915,149,2,363.65,1,2,2,122,Can't Lose
12916,139,5,2982.35,1,3,4,134,Hibernating
12917,128,1,594.0,2,1,2,212,At Risk
12919,8,8,1301.44,4,4,3,443,Champions
12920,17,1,164.23,4,1,1,411,Lost
12921,4,50,16389.74,4,4,4,444,Champions
12922,161,1,405.38,1,1,2,112,Can't Lose
12923,64,1,176.97,2,1,1,211,Can't Lose
12924,88,5,929.95,2,3,3,233,About to Sleep
12925,5,2,694.05,4,2,3,423,Potential Loyalists
12928,35,5,2062.7,3,3,4,334,Loyal
12929,122,2,105.1,2,2,1,221,At Risk
12930,78,4,409.90000000000003,2,3,2,232,About to Sleep
12931,22,20,33462.81,3,4,4,344,Loyal
12933,24,4,606.28,3,3,2,332,Potential Loyalists
12935,2,8,2156.45,4,4,4,444,Champions
12936,17,5,1012.9,4,3,3,433,Loyal
12937,15,4,1504.27,4,3,3,433,Loyal
12938,26,1,114.14,3,1,1,311,Lost
12939,64,8,11581.8,2,4,4,244,Hibernating
12940,46,4,876.29,3,3,3,333,Potential Loyalists
12942,131,3,683.9,2,2,3,223,About to Sleep
12944,36,2,604.51,3,2,2,322,Promising
12945,288,1,462.95,1,1,2,112,Can't Lose
12947,144,11,1407.29,1,4,3,143,Hibernating
12948,16,8,2053.7,4,4,4,444,Champions
12949,31,10,4143.02,3,4,4,344,Loyal
12950,2,3,1843.0,4,2,4,424,Unknown
12951,9,8,1042.07,4,4,3,443,Champions
12952,6,5,1382.84,4,3,3,433,Loyal
12953,10,1,329.85,4,1,2,412,New Customers
12955,1,14,4734.26,4,4,4,444,Champions
12956,306,1,108.07,1,1,1,111,Can't Lose
12957,4,12,3979.04,4,4,4,444,Champions
12962,7,2,266.39,4,2,1,421,New Customers
12963,8,9,1841.03,4,4,4,444,Champions
12965,89,1,771.91,2,1,3,213,Unknown
12966,10,1,160.18,4,1,1,411,Lost
12967,3,4,1194.75,4,3,3,433,Loyal
12968,112,1,135.95,2,1,1,211,Can't Lose
12970,7,4,452.24,4,3,2,432,Unknown
12971,4,89,10930.26,4,4,4,444,Champions
12974,198,1,144.8,1,1,1,111,Can't Lose
12976,212,1,738.6,1,1,3,113,Unknown
12977,156,1,39.239999999999995,1,1,1,111,Can't Lose
12980,156,12,7092.06,1,4,4,144,Hibernating
12981,30,2,372.21999999999997,3,2,2,322,Promising
12982,240,2,377.2,1,2,2,122,Can't Lose
12984,19,1,97.5,3,1,1,311,Lost
12985,1,3,1215.6200000000001,4,2,3,423,Potential Loyalists
12987,74,3,545.0,2,2,2,222,At Risk
12988,292,1,535.32,1,1,2,112,Can't Lose
12989,3,19,6854.51,4,4,4,444,Champions
12990,31,3,409.5,3,2,2,322,Promising
12991,23,2,503.76,3,2,2,322,Promising
12993,23,4,414.76,3,3,2,332,Potential Loyalists
12994,4,5,902.22,4,3,3,433,Loyal
12995,78,2,200.72,2,2,1,221,At Risk
12997,22,7,1197.94,3,4,3,343,Loyal
12999,196,3,455.88,1,2,2,122,Can't Lose
13000,107,3,534.85,2,2,2,222,At Risk
13001,4,15,9797.92,4,4,4,444,Champions
13002,318,1,120.95,1,1,1,111,Can't Lose
13003,106,3,149.05,2,2,1,221,At Risk
13004,12,22,5613.43,4,4,4,444,Champions
13005,174,3,468.95,1,2,2,122,Can't Lose
13006,56,1,81.57,2,1,1,211,Can't Lose
13008,323,2,178.47,1,2,1,121,Can't Lose
13011,372,1,50.550000000000004,1,1,1,111,Can't Lose
13012,9,11,1311.6200000000001,4,4,3,443,Champions
13013,1,15,4786.99,4,4,4,444,Champions
13014,3,16,3365.43,4,4,4,444,Champions
13015,53,5,3346.28,2,3,4,234,About to Sleep
13016,73,3,789.89,2,2,3,223,About to Sleep
13017,7,1,204.0,4,1,1,411,Lost
13018,16,29,7272.75,4,4,4,444,Champions
13021,4,12,2584.4,4,4,4,444,Champions
13023,64,2,689.9,2,2,3,223,About to Sleep
13026,1,8,936.15,4,4,3,443,Champions
13027,114,6,6912.0,2,3,4,234,About to Sleep
13028,23,3,659.68,3,2,3,323,Potential Loyalists
13029,31,3,1247.5,3,2,3,323,Potential Loyalists
13030,11,2,799.48,4,2,3,423,Potential Loyalists
13032,39,3,996.52,3,2,3,323,Potential Loyalists
13033,357,1,190.55,1,1,1,111,Can't Lose
13034,55,2,642.77,2,2,2,222,At Risk
13035,58,3,886.63,2,2,3,223,About to Sleep
13037,138,3,881.07,2,2,3,223,About to Sleep
13038,80,3,908.46,2,2,3,223,About to Sleep
13040,9,2,676.99,4,2,3,423,Potential Loyalists
13043,254,2,471.57,1,2,2,122,Can't Lose
13044,291,1,560.47,1,1,2,112,Can't Lose
13045,99,1,305.28000000000003,2,1,2,212,At Risk
13046,31,2,629.31,3,2,2,322,Promising
13047,32,18,3079.1,3,4,4,344,Loyal
13048,14,5,1805.91,4,3,4,434,Loyal
13049,64,2,656.6800000000001,2,2,3,223,About to Sleep
13050,9,28,5684.61,4,4,4,444,Champions
13052,212,1,348.15000000000003,1,1,2,112,Can't Lose
13055,64,4,1201.96,2,3,3,233,About to Sleep
